,Number of views last 7 days,Price,currency,amount,Price_Euros,Boat Type,Manufacturer,Type,Condition,Year Built,Length,Width,Size,Material,Location,Country
9580,3263,CHF 14900,CHF,14900.0,14751.0,Motor Yacht,Bayliner ,"Used boat,Unleaded",Used,1992.0,7.7,2.46,18.942,Plastic,Switzerland Â» Le Landeron (NE),Switzerland 
8723,2432,CHF 35000,CHF,35000.0,34650.0,Hardtop,Princess ,"Used boat,Diesel",Used,1979.0,11.12,3.88,43.145599999999995,GRP,Switzerland Â» Neuenburgersee Â» Hauterive,Switzerland 
6211,2261,CHF 125900,CHF,125900.0,124641.0,"Bowrider,Motor Yacht,Sport Boat",Windy ,"Used boat,Diesel",new,2002.0,12.35,3.48,42.978,GRP,Switzerland Â» Lago Maggiore Â» 6600 Locarno ,Switzerland 
3700,2154,EUR 949000,EUR,949000.0,949000.0,Hardtop,Pershing ,"Used boat,Diesel",Used,2009.0,20.3,5.2,105.56,GRP,Neustadt in Holstein (Ostsee),Neustadt in Holstein (Ostsee)
308,2026,CHF 19900,CHF,19900.0,19701.0,Sport Boat,Sea Ray ,"Used boat,Unleaded",Used,1993.0,6.14,2.34,14.367599999999998,Plastic,Switzerland Â» Murtensee Â» Avenches,Switzerland 
894,1970,CHF 48500,CHF,48500.0,48015.0,Cabin Boat,Viper ,"Used boat,Unleaded",Used,2014.0,6.65,2.3,15.295,GRP,Switzerland Â» Horn ,Switzerland 
9878,1917,CHF 4999,CHF,4999.0,4949.01,"Sport Boat,Wakeboard/Wakesurf,Water ski",Tullio Abbate ,"Used boat,Unleaded",Used,1980.0,6.0,2.1,12.600000000000001,GRP,Switzerland Â» Lake of Zurich Â» Rafz,Switzerland 
8684,1834,CHF 36000,CHF,36000.0,35640.0,Sport Boat,Correct Craft ,"Used boat,Unleaded",Used,2005.0,6.4,2.31,14.784,GRP,Switzerland Â» Lago Maggiore Â» Ticino,Switzerland 
9843,1831,CHF 6500,CHF,6500.0,6435.0,Sport Boat,Baha ,"Used boat,Unleaded",Used,1995.0,6.8,2.38,16.183999999999997,GRP,Thun,Thun
35,1804,CHF 3800,CHF,3800.0,3762.0,Cabin Boat,Draco ,"Used boat,Unleaded",Used,1980.0,6.2,2.45,15.190000000000001,GRP,Switzerland Â» Walensee Â» Walenstadt,Switzerland 
4548,1780,CHF 350000,CHF,350000.0,346500.0,"Hardtop,Motor Yacht",BÃ©nÃ©teau ,"Used boat,Diesel",Used,2016.0,13.15,3.96,52.074,GRP,Switzerland Â» Lake Geneva Â» Vevey ,Switzerland 
