,Unnamed: 0,Number of views last 7 days,currency,Price_Euros,Boat Type,Manufacturer,Type,Condition,Year Built,Length,Width,Material,Country,price_percentile
0,0,3263,CHF,14751.0,Motor Yacht,Bayliner ,"Used boat,Unleaded",Used,1992.0,7.7,2.46,Plastic,Switzerland ,0-10
1,1,2432,CHF,34650.0,Hardtop,Princess ,"Used boat,Diesel",Used,1979.0,11.12,3.88,GRP,Switzerland ,11-20
2,2,2261,CHF,124641.0,"Bowrider,Motor Yacht,Sport Boat",Windy ,"Used boat,Diesel",Used,2002.0,12.35,3.48,GRP,Switzerland ,51-60
3,3,2154,EUR,949000.0,Hardtop,Pershing ,"Used boat,Diesel",Used,2009.0,20.3,5.2,GRP,Neustadt in Holstein (Ostsee),91-100
4,4,2026,CHF,19701.0,Sport Boat,Sea Ray ,"Used boat,Unleaded",Used,1993.0,6.14,2.34,Plastic,Switzerland ,0-10
5,5,1970,CHF,48015.0,Cabin Boat,Viper ,"Used boat,Unleaded",Used,2014.0,6.65,2.3,GRP,Switzerland ,21-30
6,6,1917,CHF,4949.01,"Sport Boat,Wakeboard/Wakesurf,Water ski",Tullio Abbate ,"Used boat,Unleaded",Used,1980.0,6.0,2.1,GRP,Switzerland ,0-10
7,7,1834,CHF,35640.0,Sport Boat,Correct Craft ,"Used boat,Unleaded",Used,2005.0,6.4,2.31,GRP,Switzerland ,21-30
8,8,1831,CHF,6435.0,Sport Boat,Baha ,"Used boat,Unleaded",Used,1995.0,6.8,2.38,GRP,Thun,0-10
9,9,1804,CHF,3762.0,Cabin Boat,Draco ,"Used boat,Unleaded",Used,1980.0,6.2,2.45,GRP,Switzerland ,0-10
10,10,1780,CHF,346500.0,"Hardtop,Motor Yacht",Beneteau,"Used boat,Diesel",Used,2016.0,13.15,3.96,GRP,Switzerland ,81-90
11,11,1710,EUR,159359.0,Sport Boat,Bavaria ,"new boat from stock,Unleaded",new,2020.0,9.31,2.99,GRP,Switzerland ,61-70
12,12,1700,EUR,209000.0,Hardtop,Beneteau,"Display Model,Diesel",Display,2019.0,3.35,9.95,GRP,Germany ,71-80
13,13,1621,EUR,139000.0,Motor Yacht,De Boarnstream ,"Used boat,Diesel",Used,2006.0,10.7,3.65,Steel,Germany ,61-70
